,,Unpolarized Performance of 805 nm Longpass Dichroic Mirror,,
,,Wavelength (nm),% Transmission,% Reflectance
,,250,5.41308,15.47997
,,251,6.13045,14.12274
,,252,3.34257,15.57537
,,253,6.78326,18.17302
Product Raw Data,,254,2.60358,17.89731
"Longpass Dichroic Mirror, 805 nm Cut-On",,255,5.37962,19.86698
,,256,7.56171,19.9079
Item #,"DMLP805T, DMLP805, DMLP805L, DMLP805R",257,4.85861,21.03441
,,258,4.0215,18.41559
,,259,4.43062,21.45417
,,260,5.30238,23.09404
"DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data. This data may be used in publications. However, please cite Thorlabs as the source.",,261,1.88116,21.5175
,,262,2.62326,21.53837
,,263,8.55047,28.63319
,,264,4.89764,26.34414
,,265,4.34012,27.42899
,,266,7.56506,27.67023
,,267,6.43575,26.33335
,,268,1.68777,24.87976
,,269,7.08135,24.51922
Additional Information:,,270,8.10957,28.22045
"Measurements were made at a 45° incident angle on the DMLP805. Due to differing substrate thicknesses, the transmission may be different for other optics with the same dichroic coating.",,271,4.19417,29.09073
,,272,5.33884,26.45701
,,273,5.2912,27.5551
,,274,1.50018,25.32777
,,275,1.43398,24.9501
,,276,6.47364,28.98128
,,277,6.67237,31.90442
,,278,5.19263,28.55429
,,279,5.66135,30.58153
,,280,6.24937,30.99706
,,281,8.82138,29.93036
,,282,6.2847,28.6735
,,283,11.15997,33.27323
,,284,5.45546,29.32493
,,285,4.09752,28.53846
,,286,10.4502,29.97397
,,287,10.0844,30.3054
,,288,11.27732,29.15889
,,289,6.9246,25.54198
,,290,5.15219,27.8315
,,291,2.81537,32.21978
,,292,3.5775,23.1926
,,293,8.0718,23.77895
,,294,8.93485,28.09425
,,295,8.92403,24.69504
,,296,6.05349,23.52041
,,297,2.8202,18.35046
,,298,6.85806,24.25082
,,299,5.26221,22.82285
,,300,5.83138,24.60141
,,301,8.32371,23.73504
,,302,4.07778,22.95308
,,303,3.39981,23.55705
,,304,3.35751,18.23998
,,305,8.12676,24.98256
,,306,6.66985,24.52543
,,307,6.04969,24.974
,,308,6.81511,28.47055
,,309,5.62067,30.83708
,,310,10.75907,32.96356
,,311,3.68498,28.93448
,,312,4.09169,30.14853
,,313,5.45027,33.8817
,,314,6.91423,35.26201
,,315,12.68727,37.16601
,,316,8.05839,36.75572
,,317,1.50547,35.06365
,,318,7.97298,42.10848
,,319,10.09249,38.71921
,,320,2.17934,35.48792
,,321,3.19354,37.14613
,,322,3.20385,36.7109
,,323,1.90621,36.75484
,,324,3.36248,38.12652
,,325,2.86604,36.56953
,,326,2.55291,35.91552
,,327,1.41112,35.85835
,,328,1.89872,36.37005
,,329,2.64906,36.8759
,,330,1.167,36.89922
,,331,2.30298,37.84931
,,332,3.62296,39.46721
,,333,1.24324,37.97253
,,334,1.54239,39.1914
,,335,2.48407,39.22292
,,336,1.74204,36.82647
,,337,2.144,35.49043
,,338,2.76802,34.50382
,,339,1.7411,31.14792
,,340,2.41559,27.06543
,,341,1.93042,24.61714
,,342,2.38086,20.0148
,,343,2.19417,15.88343
,,344,0.78325,13.51754
,,345,2.23348,13.22474
,,346,0.58093,13.86193
,,347,1.74195,14.68443
,,348,1.26385,16.18388
,,349,1.39285,19.99025
,,350,1.64393,23.70411
,,351,0.97476,30.23608
,,352,0.6467,36.84878
,,353,1.70948,42.1872
,,354,1.59423,44.42241
,,355,1.30824,46.01232
,,356,1.68703,48.34307
,,357,0.99117,53.00551
,,358,1.22076,58.09154
,,359,1.38397,61.9575
,,360,1.70832,63.19106
,,361,2.17347,61.30858
,,362,1.89614,57.917
,,363,2.10609,55.02109
,,364,1.41376,54.23787
,,365,2.08357,58.02411
,,366,1.58193,63.76443
,,367,1.56037,68.92045
,,368,1.10139,72.08279
,,369,0.9607,73.18589
,,370,0.50743,73.57444
,,371,1.21326,74.37187
,,372,0.91751,76.31056
,,373,1.41157,78.62856
,,374,1.35624,79.57046
,,375,1.41652,81.47203
,,376,2.07955,83.00746
,,377,1.72564,85.70589
,,378,1.70891,87.70997
,,379,1.67846,89.3433
,,380,1.75571,90.9941
,,381,2.28159,89.87406
,,382,2.34406,87.24489
,,383,2.75673,84.94831
,,384,3.67273,82.93209
,,385,3.32384,82.78316
,,386,3.01439,85.08016
,,387,2.72767,88.26617
,,388,1.90912,91.53528
,,389,1.09022,93.36287
,,390,0.73912,94.05152
,,391,0.64808,93.79156
,,392,0.42393,93.42341
,,393,0.6428,93.76585
,,394,0.79685,94.47935
,,395,0.28532,95.96519
,,396,0.49371,97.1079
,,397,0.40876,98.27239
,,398,0.3487,98.55355
,,399,0.66852,98.48217
,,400,0.47465,98.07592
,,401,0.72558,97.30125
,,402,0.45514,96.50135
,,403,0.47087,95.69149
,,404,0.30151,95.11659
,,405,0.27382,94.70551
,,406,0.23557,94.37913
,,407,0.37098,94.63854
,,408,0.47705,94.992
,,409,0.61237,95.72007
,,410,0.43838,96.50083
,,411,0.40171,97.44782
,,412,0.30607,98.10122
,,413,0.31786,98.42349
,,414,0.24939,98.57169
,,415,0.23246,98.31934
,,416,0.46168,97.66884
,,417,0.34088,97.16344
,,418,0.41202,96.90588
,,419,0.43251,96.8841
,,420,0.38435,96.9236
,,421,0.28866,97.02927
,,422,0.3209,97.15075
,,423,0.31632,97.26048
,,424,0.20053,97.5537
,,425,0.36261,97.97172
,,426,0.38876,98.36513
,,427,0.11502,98.71495
,,428,0.26964,98.70846
,,429,0.28223,98.65218
,,430,0.29492,98.32741
,,431,0.20847,97.94235
,,432,0.15349,97.55896
,,433,0.1708,97.18508
,,434,0.15159,97.1091
,,435,0.1362,97.0951
,,436,0.27227,97.24529
,,437,0.08526,97.11619
,,438,0.10811,97.08316
,,439,0.19889,97.00031
,,440,0.22049,96.76422
,,441,0.35375,96.55806
,,442,0.37406,96.35849
,,443,0.37593,96.18747
,,444,0.26904,96.17214
,,445,0.39179,96.25452
,,446,0.34086,96.52452
,,447,0.24383,96.77358
,,448,0.16076,97.2532
,,449,0.24293,97.52438
,,450,0.14031,97.67508
,,451,0.232,97.71601
,,452,0.10471,97.67792
,,453,0.14305,97.58552
,,454,0.20733,97.35146
,,455,0.05986,97.09431
,,456,0.2345,96.89558
,,457,0.1825,96.69662
,,458,0.19628,96.55208
,,459,0.20489,96.51434
,,460,0.19083,96.60603
,,461,0.17421,96.71678
,,462,0.22475,96.94277
,,463,0.26641,97.13506
,,464,0.27492,97.3392
,,465,0.30582,97.18219
,,466,0.39166,97.07527
,,467,0.37885,96.9024
,,468,0.4343,96.9602
,,469,0.40381,96.95921
,,470,0.33027,97.17537
,,471,0.28932,97.42021
,,472,0.22424,97.66489
,,473,0.14636,97.73171
,,474,0.13195,97.76896
,,475,0.14536,97.67445
,,476,0.17629,97.47236
,,477,0.21974,97.3531
,,478,0.27397,97.25915
,,479,0.31053,97.213
,,480,0.25568,97.27577
,,481,0.32465,97.42135
