,,A Comparisons of Thorlabs' Thin Film Aluminum Mirror Coatings,,,
,,UV-Enhanced Aluminum (-F01),,Protected Aluminum (-G01),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,2.83947,96.92696,2.85941,95.70326
,,2.84958,96.95047,2.86952,95.6919
,,2.85941,96.97269,2.87961,95.68071
,,2.86952,96.99487,2.88943,95.66997
,,2.87961,97.01639,2.89952,95.65909
,,2.88943,97.03669,2.9096,95.64836
,,2.89952,97.05693,2.91941,95.63808
,,2.9096,97.07652,2.92948,95.62765
,,2.91941,97.09497,2.93955,95.61738
,,2.92948,97.11332,2.94934,95.60753
,,2.93955,97.13105,2.9594,95.59756
,,2.94934,97.14771,2.96945,95.58773
,,2.9594,97.16424,2.9795,95.57804
,,2.96945,97.18017,2.98954,95.5685
,,2.9795,97.19552,2.99958,95.55911
,,2.98954,97.21027,3.00934,95.55011
,,2.99958,97.22446,3.01937,95.541
,,3.00934,97.23771,3.02939,95.53202
,,3.01937,97.25077,3.03941,95.52319
,,3.02939,97.26328,3.04942,95.51449
,,3.03941,97.27523,3.05943,95.50593
,,3.04942,97.28665,3.06943,95.49751
,,3.05943,97.29753,3.07943,95.48921
,,3.06943,97.30788,3.08943,95.48105
,,3.07943,97.3177,3.09941,95.47303
,,3.08943,97.32701,3.1094,95.46513
,,3.09941,97.33581,3.11937,95.45736
,,3.1094,97.3441,3.12934,95.44972
,,3.11937,97.3519,3.13931,95.44221
,,3.12934,97.35921,3.14927,95.43482
,,3.13931,97.36603,3.15923,95.42756
,,3.14927,97.37238,3.16945,95.42022
,,3.15923,97.37825,3.17939,95.4132
,,3.16945,97.38379,3.18934,95.40631
,,3.17939,97.38872,3.19927,95.39954
,,3.18934,97.3932,3.2092,95.39288
,,3.19927,97.39724,3.21939,95.38616
,,3.2092,97.40083,3.22931,95.37974
,,3.21939,97.40406,3.23922,95.37344
,,3.22931,97.40677,3.2494,95.36708
,,3.23922,97.40906,3.2593,95.361
,,3.2494,97.41097,3.2692,95.35504
,,3.2593,97.41242,3.27936,95.34903
,,3.2692,97.41346,3.28924,95.34329
,,3.27936,97.41411,3.29939,95.3375
,,3.28924,97.41434,3.30927,95.33198
,,3.29939,97.41418,3.31914,95.32657
,,3.30927,97.41363,3.32927,95.32112
,,3.31914,97.4127,3.33912,95.31592
,,3.32927,97.41136,3.34924,95.31068
,,3.33912,97.40968,3.35936,95.30555
,,3.34924,97.40757,3.3692,95.30066
,,3.35936,97.4051,3.3793,95.29574
,,3.3692,97.40233,3.38913,95.29106
,,3.3793,97.39912,3.39922,95.28634
,,3.38913,97.39566,3.4093,95.28173
,,3.39922,97.39175,3.41911,95.27734
,,3.4093,97.3875,3.42918,95.27293
,,3.41911,97.38302,3.43925,95.26861
,,3.42918,97.3781,3.44931,95.2644
,,3.43925,97.37284,3.4591,95.26039
,,3.44931,97.36725,3.46915,95.25637
,,3.4591,97.36151,3.47919,95.25244
,,3.46915,97.35529,3.48922,95.2486
,,3.47919,97.34876,3.49925,95.24486
,,3.48922,97.34193,3.50927,95.24121
,,3.49925,97.3348,3.51903,95.23775
,,3.50927,97.32737,3.52904,95.23428
,,3.51903,97.31986,3.53904,95.2309
,,3.52904,97.31186,3.54904,95.22761
,,3.53904,97.30358,3.55903,95.2244
,,3.54904,97.29503,3.56902,95.22128
,,3.55903,97.2862,3.579,95.21825
,,3.56902,97.27711,3.58923,95.21522
,,3.579,97.26776,3.5992,95.21236
,,3.58923,97.2579,3.60916,95.20958
,,3.5992,97.24803,3.61911,95.20688
,,3.60916,97.23791,3.62906,95.20426
,,3.61911,97.22756,3.639,95.20172
,,3.62906,97.21696,3.6492,95.19919
,,3.639,97.20613,3.65913,95.19682
,,3.6492,97.19478,3.66905,95.19451
,,3.65913,97.1835,3.67897,95.19229
,,3.66905,97.17199,3.68913,95.19008
,,3.67897,97.16027,3.69904,95.188
,,3.68913,97.14802,3.70893,95.18601
,,3.69904,97.13587,3.71908,95.18402
,,3.70893,97.12353,3.72896,95.18217
,,3.71908,97.11065,3.7391,95.18034
,,3.72896,97.0979,3.74897,95.17863
,,3.7391,97.08463,3.75909,95.17694
,,3.74897,97.0715,3.76895,95.17537
,,3.75909,97.05784,3.77906,95.17382
,,3.76895,97.04436,3.7889,95.17239
,,3.77906,97.03033,3.79899,95.17098
,,3.7889,97.0165,3.80908,95.16964
,,3.79899,97.00213,3.8189,95.1684
,,3.80908,96.98759,3.82898,95.16719
,,3.8189,96.97326,3.83904,95.16605
,,3.82898,96.9584,3.8491,95.16498
,,3.83904,96.94338,3.8589,95.164
,,3.8491,96.9282,3.86894,95.16305
,,3.8589,96.91327,3.87898,95.16216
,,3.86894,96.89781,3.88901,95.16134
,,3.87898,96.8822,3.89903,95.16058
,,3.88901,96.86645,3.90905,95.15987
,,3.89903,96.85057,3.91906,95.15923
,,3.90905,96.83456,3.9288,95.15867
,,3.91906,96.81843,3.9388,95.15814
,,3.9288,96.80258,3.94904,95.15765
,,3.9388,96.78621,3.95902,95.15724
,,3.94904,96.76929,3.96899,95.15688
,,3.95902,96.75269,3.97896,95.15658
,,3.96899,96.73597,3.98892,95.15633
,,3.97896,96.71915,3.99887,95.15614
