,,Unpolarized Performance of 900 nm Longpass Dichroic Mirror,,
,,Wavelength (nm),% Transmission,% Reflectance
,,250,1.03102904,5.364394113
,,251,1.630427689,4.723580735
,,252,0.576413991,4.087152815
,,253,1.495119206,2.999042877
Product Raw Data,,254,0.424680819,3.751727283
"Longpass Dichroic Mirror, 900 nm Cut-On",,255,1.483335263,1.973380369
,,256,1.324438708,2.226479554
Item #,"DMLP900T, DMLP900, DMLP900L, DMLP900R",257,0.818524092,1.780008813
,,258,1.147404931,1.767918445
,,259,0.969273231,1.239995465
,,260,0.913028973,1.443183735
"DISCLAIMER: The data presented here are typical. Slight variations in performance data will occur from lot to lot. Please contact Technical Support with any questions regarding the use or reliability of this data. This data may be used in publications. However, please cite Thorlabs as the source.",,261,1.155781114,1.70660342
,,262,0.89654882,2.460159378
,,263,1.174436509,1.720756306
,,264,1.194236803,1.591335313
,,265,2.055794391,1.989182221
,,266,1.101863413,2.575847833
,,267,1.256879626,3.922528336
,,268,0.980893795,5.857660827
,,269,0.989627925,6.85516722
Additional Information:,,270,0.684709933,9.827345765
"Measurements were made at a 45° incident angle on the DMLP900. Due to differing substrate thicknesses, the transmission may be different for other optics with the same dichroic coating.",,271,2.355718731,11.97227601
,,272,0.994992961,14.51770178
,,273,1.040269334,17.2570804
,,274,0.756148531,19.25240042
,,275,0.043373113,19.35283886
,,276,2.089299913,17.31771271
,,277,1.76340027,15.9016205
,,278,1.86686236,13.10806781
,,279,0.247082803,12.55679906
,,280,0.449018201,11.68119512
,,281,1.563457688,14.0775335
,,282,2.042253097,16.21086453
,,283,1.379051392,22.0462916
,,284,0.521872785,26.76049187
,,285,1.0364652,30.94089801
,,286,1.566799918,35.5334108
,,287,1.320758724,38.12603427
,,288,1.310814395,43.1609971
,,289,0.112033289,48.67357001
,,290,1.424967951,54.50336453
,,291,0.647431819,61.11655346
,,292,0.765746525,64.94440379
,,293,1.610221392,66.33200177
,,294,1.546802972,64.61534756
,,295,0.492789317,61.12785899
,,296,1.996050402,56.59828275
,,297,1.305466858,53.46306058
,,298,1.433098678,49.39860137
