Uncoated B270 Transmission,,,
Wavelength (nm),% Transmission,,
2234,77.90927,,
2233,77.899313,,
2232,77.922089,,
2231,77.915088,,
2230,77.924192,,
2229,77.952036,,
2228,77.974854,,
2227,78.020315,,
2226,78.027115,,
2225,78.047568,,
2224,78.072993,,
2223,78.098011,,
2222,78.11764,,
2221,78.157792,,
2220,78.207811,,
2219,78.219611,,
2218,78.249889,,
2217,78.309251,,
2216,78.352486,,
2215,78.404166,,
2214,78.435794,,
2213,78.489236,,
2212,78.560879,,
2211,78.646381,,
2210,78.699697,,
2209,78.763921,,
2208,78.832344,,
2207,78.906577,,
2206,78.968518,,
2205,79.050093,,
2204,79.13072,,
2203,79.196552,,
2202,79.283471,,
2201,79.34068,,
2200,79.432963,,
2199,79.548512,,
2198,79.707445,,
2197,79.753983,,
2196,79.85656,,
2195,79.949771,,
2194,80.057341,,
2193,80.178933,,
2192,80.303177,,
2191,80.417286,,
2190,80.519591,,
2189,80.635359,,
2188,80.730178,,
2187,80.856951,,
2186,80.991549,,
2185,81.097556,,
2184,81.220606,,
2183,81.293995,,
2182,81.43374,,
2181,81.54509,,
2180,81.646041,,
2179,81.725993,,
2178,81.83924,,
2177,81.936265,,
2176,82.028933,,
2175,82.106412,,
2174,82.193868,,
2173,82.276636,,
2172,82.359356,,
2171,82.425859,,
2170,82.509869,,
2169,82.562994,,
2168,82.635826,,
2167,82.710021,,
2166,82.774096,,
2165,82.825536,,
2164,82.893912,,
2163,82.962455,,
2162,82.994624,,
2161,83.045359,,
2160,83.116921,,
2159,83.164512,,
2158,83.188232,,
2157,83.228003,,
2156,83.279663,,
2155,83.315402,,
2154,83.387425,,
2153,83.441135,,
2152,83.496562,,
2151,83.539336,,
2150,83.566818,,
2149,83.618072,,
2148,83.644981,,
2147,83.670746,,
2146,83.735299,,
2145,83.774503,,
2144,83.80807,,
2143,83.82176,,
2142,83.858618,,
2141,83.906597,,
2140,83.956017,,
2139,84.005568,,
2138,84.035283,,
2137,84.095739,,
2136,84.135721,,
2135,84.169142,,
2134,84.183864,,
2133,84.21609,,
2132,84.262492,,
2131,84.283368,,
2130,84.314157,,
2129,84.357717,,
2128,84.400135,,
2127,84.442928,,
2126,84.458414,,
2125,84.475415,,
2124,84.487995,,
2123,84.533527,,
2122,84.574012,,
2121,84.603721,,
2120,84.621305,,
2119,84.664009,,
2118,84.670988,,
2117,84.703119,,
2116,84.72347,,
2115,84.738667,,
2114,84.788927,,
2113,84.804259,,
2112,84.830195,,
2111,84.854153,,
2110,84.890343,,
2109,84.928882,,
2108,84.935656,,
2107,84.948449,,
2106,84.955663,,
2105,84.986866,,
2104,85.036588,,
2103,85.046691,,
2102,85.078373,,
2101,85.103048,,
2100,85.135612,,
2099,85.167948,,
2098,85.173368,,
2097,85.190763,,
2096,85.216775,,
2095,85.235103,,
2094,85.26434,,
2093,85.271364,,
2092,85.286818,,
2091,85.294653,,
2090,85.310749,,
2089,85.326561,,
2088,85.346817,,
2087,85.364637,,
2086,85.36001,,
2085,85.362479,,
2084,85.400335,,
2083,85.427234,,
2082,85.44262,,
2081,85.453296,,
2080,85.473902,,
2079,85.507105,,
2078,85.522827,,
2077,85.521949,,
2076,85.519564,,
2075,85.531255,,
2074,85.548736,,
2073,85.573685,,
2072,85.591176,,
2071,85.620023,,
2070,85.656415,,
2069,85.669706,,
2068,85.649718,,
2067,85.648784,,
2066,85.652411,,
2065,85.66985,,
2064,85.692187,,
2063,85.711129,,
2062,85.730763,,
2061,85.738792,,
2060,85.754519,,
2059,85.786645,,
2058,85.800528,,
2057,85.803044,,
2056,85.807808,,
2055,85.818873,,
2054,85.813442,,
2053,85.814702,,
2052,85.816615,,
2051,85.834809,,
2050,85.868124,,
2049,85.887926,,
2048,85.902857,,
2047,85.912742,,
2046,85.920227,,
2045,85.939784,,
2044,85.962313,,
2043,85.961617,,
2042,85.975823,,
2041,86.001413,,
2040,86.010329,,
2039,86.023271,,
2038,86.029992,,
2037,86.043739,,
2036,86.058916,,
2035,86.069798,,
2034,86.081903,,
2033,86.10056,,
2032,86.13536,,
2031,86.164078,,
2030,86.17403,,
2029,86.16212,,
2028,86.178161,,
2027,86.191716,,
2026,86.187805,,
2025,86.215666,,
2024,86.232583,,
2023,86.237732,,
2022,86.259278,,
2021,86.252567,,
2020,86.255037,,
2019,86.280489,,
2018,86.292986,,
2017,86.315059,,
2016,86.333697,,
2015,86.348494,,
2014,86.354204,,
2013,86.353376,,
2012,86.375178,,
2011,86.404621,,
2010,86.419106,,
2009,86.433623,,
2008,86.446713,,
2007,86.459751,,
2006,86.469526,,
2005,86.478041,,
2004,86.475216,,
2003,86.49886,,
2002,86.517178,,
2001,86.53072,,
2000,86.557192,,
1999,86.578936,,
1998,86.591983,,
1997,86.600302,,
1996,86.616417,,
1995,86.631363,,
1994,86.655868,,
1993,86.660287,,
1992,86.675206,,
1991,86.711977,,
1990,86.727199,,
1989,86.72058,,
1988,86.750136,,
1987,86.77321,,
1986,86.795219,,
1985,86.810165,,
1984,86.827188,,
1983,86.830779,,
1982,86.845865,,
1981,86.864686,,
1980,86.881,,
1979,86.906112,,
1978,86.927951,,
1977,86.945856,,
1976,86.958386,,
1975,86.975918,,
1974,86.993811,,
1973,87.022104,,
1972,87.032248,,
1971,87.054432,,
1970,87.073671,,
1969,87.090925,,
1968,87.127426,,
1967,87.143317,,
1966,87.142188,,
1965,87.162036,,
1964,87.190241,,
1963,87.20074,,
1962,87.233472,,
1961,87.253307,,
1960,87.238021,,
1959,87.264471,,
1958,87.282745,,
1957,87.283768,,
1956,87.327913,,
1955,87.343368,,
1954,87.378687,,
1953,87.402283,,
1952,87.390114,,
1951,87.39788,,
1950,87.439383,,
1949,87.448526,,
1948,87.442757,,
1947,87.473737,,
1946,87.487265,,
1945,87.486963,,
1944,87.545547,,
1943,87.544711,,
1942,87.510856,,
1941,87.59973,,
1940,87.610907,,
1939,87.653706,,
1938,87.654234,,
1937,87.665185,,
1936,87.681074,,
1935,87.676927,,
1934,87.679407,,
1933,87.704053,,
1932,87.751647,,
1931,87.763787,,
1930,87.766009,,
1929,87.760233,,
1928,87.76041,,
1927,87.787758,,
1926,87.794601,,
1925,87.812202,,
1924,87.825216,,
1923,87.857527,,
1922,87.870792,,
1921,87.873511,,
1920,87.878066,,
1919,87.904136,,
1918,87.8988,,
1917,87.952817,,
1916,87.990429,,
1915,88.037043,,
1914,88.038399,,
1913,88.027992,,
1912,88.013563,,
1911,88.047647,,
1910,88.042739,,
1909,88.077519,,
1908,88.139669,,
1907,88.150729,,
1906,88.18134,,
1905,88.173816,,
1904,88.151709,,
1903,88.14509,,
1902,88.162291,,
1901,88.214569,,
1900,88.179347,,
1899,88.225571,,
1898,88.282026,,
1897,88.247782,,
1896,88.295273,,
1895,88.246385,,
1894,88.326797,,
1893,88.353281,,
1892,88.37388,,
1891,88.333118,,
1890,88.354394,,
1889,88.356758,,
1888,88.373309,,
1887,88.437046,,
1886,88.421424,,
1885,88.425689,,
1884,88.453044,,
1883,88.444912,,
1882,88.494482,,
1881,88.466305,,
1880,88.529329,,
1879,88.49138,,
1878,88.532603,,
1877,88.544187,,
1876,88.582286,,
1875,88.592046,,
1874,88.6056,,
1873,88.596098,,
1872,88.578966,,
1871,88.591942,,
1870,88.601964,,
1869,88.589253,,
1868,88.603018,,
1867,88.63132,,
1866,88.642856,,
1865,88.644592,,
1864,88.700787,,
1863,88.745294,,
1862,88.756378,,
1861,88.758698,,
1860,88.742354,,
1859,88.738121,,
1858,88.795812,,
1857,88.79567,,
1856,88.786701,,
1855,88.806731,,
1854,88.832671,,
1853,88.852795,,
1852,88.844706,,
1851,88.824775,,
1850,88.893629,,
1849,88.932965,,
1848,89.015957,,
1847,88.977227,,
1846,88.913963,,
1845,88.994734,,
1844,88.957116,,
1843,88.943967,,
1842,88.977651,,
1841,89.012746,,
1840,88.976449,,
1839,89.02992,,
1838,88.985686,,
1837,89.049271,,
1836,89.049585,,
1835,89.07679,,
1834,89.031015,,
1833,89.072851,,
1832,89.121389,,
1831,89.125144,,
1830,89.12969,,
1829,89.199514,,
1828,89.178518,,
1827,89.171423,,
1826,89.197595,,
1825,89.199305,,
1824,89.216875,,
1823,89.257488,,
1822,89.266465,,
1821,89.28626,,
1820,89.27223,,
1819,89.288027,,
1818,89.282969,,
1817,89.299681,,
1816,89.347189,,
1815,89.357249,,
1814,89.378249,,
1813,89.387637,,
1812,89.386587,,
1811,89.386792,,
1810,89.404327,,
1809,89.416915,,
1808,89.466941,,
1807,89.47169,,
1806,89.485644,,
1805,89.502007,,
1804,89.522548,,
1803,89.523707,,
1802,89.540764,,
1801,89.549621,,
1800,89.579502,,
1799,89.593845,,
1798,89.598853,,
1797,89.60949,,
1796,89.645684,,
1795,89.618742,,
1794,89.635426,,
1793,89.653105,,
1792,89.667904,,
1791,89.684667,,
1790,89.694332,,
1789,89.70829,,
1788,89.725681,,
1787,89.753861,,
1786,89.774134,,
1785,89.792469,,
1784,89.785318,,
1783,89.810674,,
1782,89.820085,,
1781,89.82155,,
1780,89.857516,,
1779,89.861954,,
1778,89.872604,,
1777,89.893598,,
1776,89.893127,,
1775,89.915729,,
1774,89.920223,,
1773,89.95137,,
1772,89.959271,,
1771,89.970463,,
1770,89.996516,,
1769,90.011351,,
1768,90.027222,,
1767,90.041218,,
1766,90.068357,,
1765,90.08058,,
1764,90.087168,,
1763,90.100427,,
1762,90.110258,,
1761,90.132523,,
1760,90.128631,,
1759,90.147684,,
1758,90.168852,,
1757,90.185049,,
1756,90.190876,,
1755,90.217705,,
1754,90.240987,,
1753,90.233202,,
1752,90.245497,,
1751,90.269163,,
1750,90.30676,,
1749,90.303961,,
1748,90.312459,,
1747,90.333986,,
1746,90.350151,,
1745,90.366372,,
1744,90.371014,,
1743,90.390261,,
1742,90.387655,,
1741,90.395169,,
1740,90.403944,,
1739,90.40812,,
1738,90.418053,,
1737,90.425981,,
1736,90.4395,,
1735,90.444416,,
1734,90.511102,,
1733,90.509466,,
1732,90.522638,,
1731,90.519161,,
1730,90.53718,,
1729,90.546341,,
1728,90.557221,,
1727,90.57455,,
1726,90.594717,,
1725,90.596395,,
1724,90.606695,,
1723,90.617783,,
1722,90.618705,,
1721,90.641436,,
1720,90.659464,,
1719,90.684806,,
1718,90.687681,,
1717,90.692105,,
1716,90.713148,,
1715,90.722402,,
1714,90.746337,,
1713,90.777311,,
1712,90.776934,,
1711,90.76531,,
1710,90.788945,,
1709,90.819578,,
1708,90.818277,,
1707,90.830776,,
1706,90.841766,,
1705,90.864811,,
1704,90.874712,,
1703,90.877334,,
1702,90.882542,,
1701,90.884328,,
1700,90.882505,,
1699,90.874819,,
1698,90.880482,,
1697,90.906239,,
1696,90.930305,,
1695,90.927975,,
1694,90.923041,,
1693,90.951529,,
1692,90.981912,,
1691,90.985096,,
1690,91.000459,,
1689,91.014858,,
1688,91.023629,,
1687,91.03419,,
1686,91.050315,,
1685,91.056089,,
1684,91.058347,,
1683,91.063981,,
1682,91.082918,,
1681,91.102878,,
1680,91.096954,,
1679,91.093456,,
1678,91.12216,,
1677,91.128649,,
1676,91.129663,,
1675,91.152436,,
1674,91.154868,,
1673,91.142997,,
1672,91.184671,,
1671,91.209116,,
1670,91.208799,,
1669,91.217657,,
1668,91.218655,,
1667,91.207275,,
1666,91.204271,,
1665,91.226342,,
1664,91.244393,,
1663,91.243525,,
1662,91.251525,,
1661,91.262824,,
1660,91.271214,,
1659,91.275566,,
1658,91.261543,,
1657,91.27308,,
1656,91.283151,,
1655,91.290654,,
1654,91.302394,,
1653,91.304134,,
1652,91.311872,,
1651,91.325382,,
1650,91.343478,,
1649,91.359804,,
1648,91.360532,,
1647,91.348169,,
1646,91.355247,,
1645,91.369011,,
1644,91.386024,,
1643,91.395857,,
1642,91.390614,,
1641,91.382147,,
1640,91.385936,,
1639,91.39643,,
1638,91.398464,,
1637,91.421626,,
1636,91.448162,,
1635,91.460573,,
1634,91.450892,,
1633,91.429971,,
1632,91.421975,,
1631,91.426259,,
1630,91.432909,,
1629,91.466444,,
1628,91.483362,,
1627,91.472412,,
1626,91.473823,,
1625,91.474931,,
1624,91.479759,,
1623,91.486933,,
1622,91.499909,,
1621,91.496905,,
1620,91.496891,,
1619,91.511643,,
1618,91.522762,,
1617,91.531021,,
1616,91.528395,,
1615,91.54088,,
1614,91.557526,,
1613,91.553299,,
1612,91.549274,,
1611,91.53101,,
1610,91.521105,,
1609,91.513085,,
1608,91.526308,,
1607,91.529599,,
1606,91.531099,,
1605,91.554721,,
1604,91.559842,,
1603,91.572342,,
1602,91.578731,,
1601,91.588253,,
1600,91.599345,,
1599,91.602654,,
1598,91.603441,,
1597,91.600064,,
1596,91.593919,,
1595,91.589815,,
1594,91.590523,,
1593,91.588929,,
1592,91.604905,,
1591,91.611191,,
1590,91.632318,,
1589,91.63557,,
1588,91.635102,,
1587,91.648941,,
1586,91.644948,,
1585,91.629241,,
1584,91.629857,,
1583,91.621971,,
1582,91.633023,,
1581,91.642943,,
1580,91.632058,,
1579,91.6502,,
1578,91.650807,,
1577,91.655881,,
1576,91.680107,,
1575,91.696486,,
1574,91.684764,,
1573,91.65496,,
1572,91.658108,,
1571,91.665545,,
1570,91.691617,,
1569,91.69533,,
1568,91.694407,,
1567,91.701254,,
1566,91.718854,,
1565,91.690425,,
1564,91.684637,,
1563,91.704547,,
1562,91.701016,,
1561,91.725708,,
1560,91.728777,,
1559,91.701112,,
1558,91.727976,,
1557,91.745024,,
1556,91.728766,,
1555,91.721971,,
1554,91.734003,,
1553,91.710512,,
1552,91.725342,,
1551,91.740262,,
1550,91.753088,,
1549,91.749506,,
1548,91.746915,,
1547,91.749778,,
1546,91.75072,,
1545,91.741839,,
1544,91.751406,,
1543,91.731594,,
1542,91.732339,,
1541,91.738281,,
1540,91.758715,,
1539,91.764985,,
1538,91.770044,,
1537,91.745603,,
1536,91.751652,,
1535,91.760465,,
1534,91.762951,,
1533,91.739693,,
1532,91.752049,,
1531,91.766014,,
1530,91.768191,,
1529,91.790907,,
1528,91.760797,,
1527,91.785151,,
1526,91.783089,,
1525,91.782361,,
1524,91.762862,,
1523,91.771643,,
1522,91.762574,,
1521,91.776372,,
1520,91.800661,,
1519,91.763856,,
1518,91.779264,,
1517,91.777507,,
1516,91.768471,,
1515,91.764567,,
1514,91.762336,,
1513,91.761295,,
1512,91.757786,,
1511,91.747809,,
1510,91.755857,,
1509,91.762417,,
1508,91.751343,,
1507,91.753335,,
1506,91.748631,,
1505,91.759076,,
1504,91.763426,,
1503,91.775609,,
1502,91.731926,,
1501,91.738077,,
1500,91.762502,,
1499,91.761295,,
1498,91.761641,,
1497,91.76837,,
1496,91.766479,,
1495,91.743253,,
1494,91.711056,,
1493,91.738115,,
1492,91.734132,,
1491,91.747096,,
1490,91.741921,,
1489,91.762519,,
1488,91.754636,,
1487,91.739687,,
1486,91.726959,,
1485,91.712945,,
1484,91.712285,,
1483,91.718912,,
1482,91.720924,,
1481,91.71364,,
1480,91.724292,,
1479,91.727061,,
1478,91.701486,,
1477,91.734601,,
1476,91.700094,,
1475,91.71076,,
1474,91.700071,,
1473,91.70223,,
1472,91.702411,,
1471,91.713794,,
1470,91.689347,,
1469,91.701507,,
1468,91.68913,,
1467,91.681213,,
1466,91.680171,,
1465,91.687514,,
1464,91.662507,,
1463,91.660682,,
1462,91.673618,,
1461,91.672156,,
1460,91.638148,,
1459,91.633452,,
1458,91.62257,,
1457,91.652178,,
1456,91.62528,,
1455,91.611601,,
1454,91.616153,,
1453,91.634452,,
1452,91.583099,,
1451,91.601137,,
1450,91.587978,,
1449,91.571722,,
1448,91.582616,,
1447,91.57225,,
1446,91.58211,,
1445,91.572995,,
1444,91.555132,,
1443,91.527848,,
1442,91.512404,,
1441,91.538525,,
1440,91.51126,,
1439,91.497683,,
1438,91.478395,,
1437,91.464241,,
1436,91.480018,,
1435,91.468924,,
1434,91.456386,,
1433,91.465099,,
1432,91.444821,,
1431,91.429243,,
1430,91.405827,,
1429,91.398206,,
1428,91.409089,,
1427,91.39861,,
1426,91.388351,,
1425,91.35867,,
1424,91.346562,,
1423,91.335512,,
1422,91.316242,,
1421,91.303953,,
1420,91.293675,,
1419,91.28797,,
1418,91.29323,,
1417,91.321519,,
1416,91.293936,,
1415,91.325374,,
1414,91.305924,,
1413,91.303903,,
1412,91.278254,,
1411,91.271817,,
1410,91.283968,,
1409,91.301223,,
1408,91.343675,,
1407,91.320541,,
1406,91.320207,,
1405,91.304747,,
1404,91.311341,,
1403,91.341595,,
1402,91.342283,,
1401,91.395474,,
1400,91.423322,,
1399,91.408944,,
1398,91.424133,,
1397,91.481968,,
1396,91.564401,,
1395,91.605615,,
1394,91.643607,,
1393,91.621728,,
1392,91.615243,,
1391,91.636756,,
1390,91.681908,,
1389,91.67629,,
1388,91.675257,,
1387,91.778405,,
1386,91.752966,,
1385,91.758887,,
1384,91.848587,,
1383,91.818198,,
1382,91.855802,,
1381,91.885896,,
1380,91.791842,,
1379,91.744092,,
1378,91.778998,,
1377,91.833102,,
1376,91.807855,,
1375,91.857869,,
1374,91.850822,,
1373,91.880468,,
1372,91.899652,,
1371,91.908947,,
1370,91.836877,,
1369,91.799623,,
1368,91.845295,,
1367,91.885638,,
1366,91.871192,,
1365,91.847531,,
1364,91.879561,,
1363,91.909221,,
1362,91.894497,,
1361,91.881297,,
1360,91.862544,,
1359,91.881364,,
1358,91.811598,,
1357,91.766129,,
1356,91.867962,,
1355,91.873327,,
1354,91.845518,,
1353,91.83581,,
1352,91.820532,,
1351,91.833682,,
1350,91.816307,,
1349,91.84014,,
1348,91.850558,,
1347,91.843407,,
1346,91.87041,,
1345,91.880271,,
1344,91.863675,,
1343,91.860574,,
1342,91.863441,,
1341,91.859829,,
1340,91.864057,,
1339,91.880933,,
1338,91.866368,,
1337,91.845767,,
1336,91.861957,,
1335,91.870268,,
1334,91.868997,,
1333,91.866295,,
1332,91.863469,,
1331,91.859109,,
1330,91.853221,,
1329,91.855666,,
1328,91.852858,,
1327,91.863985,,
1326,91.872283,,
1325,91.853811,,
1324,91.866699,,
1323,91.867493,,
1322,91.864488,,
1321,91.874139,,
1320,91.883495,,
1319,91.877174,,
1318,91.862935,,
1317,91.85329,,
1316,91.863236,,
1315,91.862864,,
1314,91.861235,,
1313,91.846255,,
1312,91.843779,,
1311,91.849262,,
1310,91.838378,,
1309,91.841105,,
1308,91.848055,,
1307,91.856857,,
1306,91.841674,,
1305,91.851279,,
1304,91.848573,,
1303,91.848215,,
1302,91.845322,,
1301,91.848714,,
1300,91.836897,,
1299,91.827448,,
1298,91.838559,,
1297,91.828644,,
1296,91.824213,,
1295,91.83115,,
1294,91.834234,,
1293,91.833603,,
1292,91.835771,,
1291,91.833505,,
1290,91.823307,,
1289,91.817981,,
1288,91.819501,,
1287,91.819033,,
1286,91.824742,,
1285,91.822666,,
1284,91.834369,,
1283,91.839789,,
1282,91.82725,,
1281,91.825074,,
1280,91.827031,,
1279,91.825872,,
1278,91.810613,,
1277,91.813413,,
1276,91.808555,,
1275,91.801957,,
1274,91.806794,,
1273,91.79164,,
1272,91.780345,,
1271,91.788393,,
1270,91.810813,,
1269,91.822541,,
1268,91.804685,,
1267,91.796648,,
1266,91.781256,,
1265,91.79828,,
1264,91.812402,,
1263,91.797298,,
1262,91.803787,,
1261,91.799938,,
1260,91.830776,,
1259,91.830797,,
1258,91.798841,,
1257,91.791877,,
1256,91.786406,,
1255,91.799779,,
1254,91.810983,,
1253,91.812929,,
1252,91.793257,,
1251,91.783418,,
1250,91.77269,,
1249,91.75466,,
1248,91.758332,,
1247,91.77113,,
1246,91.785271,,
1245,91.796958,,
1244,91.795502,,
1243,91.799854,,
1242,91.802013,,
1241,91.788375,,
1240,91.814825,,
1239,91.816031,,
1238,91.793779,,
1237,91.789693,,
1236,91.775089,,
1235,91.771155,,
1234,91.777577,,
1233,91.772953,,
1232,91.783786,,
1231,91.788233,,
1230,91.797255,,
1229,91.790158,,
1228,91.805002,,
1227,91.782626,,
1226,91.77543,,
1225,91.774893,,
1224,91.762224,,
1223,91.765307,,
1222,91.764267,,
1221,91.764978,,
1220,91.775963,,
1219,91.754411,,
1218,91.751184,,
1217,91.736996,,
1216,91.761636,,
1215,91.766698,,
1214,91.774519,,
1213,91.766811,,
1212,91.761851,,
1211,91.76748,,
1210,91.77492,,
1209,91.772691,,
1208,91.759247,,
