,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,2.79953,98.54203,2.6947,98.10317,,
,,2.80966,98.52485,2.70242,98.14362,,
,,2.81951,98.50826,2.71015,98.08337,,
,,2.82963,98.49138,2.71787,98.10527,,
,,2.83947,98.47509,2.72559,97.91047,,
,,2.84958,98.45851,2.73331,98.07027,,
,,2.85941,98.44251,2.74103,97.86337,,
,,2.86952,98.42622,2.74875,98.07102,,
,,2.87961,98.41009,2.75647,97.99557,,
,,2.88943,98.39451,2.76419,98.01287,,
,,2.89952,98.37867,2.77191,98.00837,,
,,2.9096,98.36297,2.77964,98.08517,,
,,2.91941,98.34781,2.78736,98.04837,,
,,2.92948,98.33239,2.79508,98.06577,,
,,2.93955,98.31712,2.8028,98.07377,,
,,2.94934,98.30237,2.81052,98.08497,,
,,2.9594,98.28738,2.81824,98.09257,,
,,2.96945,98.27253,2.82596,98.10057,,
,,2.9795,98.25781,2.83368,98.10752,,
,,2.98954,98.24324,2.84141,98.09702,,
,,2.99958,98.2288,2.84913,98.12352,,
,,3.00934,98.21486,2.85685,98.12072,,
,,3.01937,98.20069,2.86457,98.15992,,
,,3.02939,98.18666,2.87229,98.17507,,
,,3.03941,98.17276,2.88001,98.18347,,
,,3.04942,98.159,2.88773,98.18132,,
,,3.05943,98.14537,2.89545,98.20342,,
,,3.06943,98.13188,2.90318,98.19707,,
,,3.07943,98.11851,2.9109,98.21142,,
,,3.08943,98.10528,2.91862,98.22962,,
,,3.09941,98.09218,2.92634,98.23312,,
,,3.1094,98.07921,2.93406,98.22942,,
,,3.11937,98.06637,2.94178,98.23332,,
,,3.12934,98.05366,2.9495,98.24787,,
,,3.13931,98.04107,2.95722,98.25682,,
,,3.14927,98.02862,2.96495,98.26572,,
,,3.15923,98.01629,2.97267,98.26302,,
,,3.16945,98.00379,2.98039,98.28677,,
,,3.17939,97.99172,2.98811,98.28797,,
,,3.18934,97.97977,2.99583,98.28967,,
,,3.19927,97.96794,3.00355,98.30142,,
,,3.2092,97.95624,3.01127,98.29717,,
,,3.21939,97.94438,3.01899,98.30887,,
,,3.22931,97.93293,3.02671,98.28932,,
,,3.23922,97.9216,3.03444,98.30152,,
,,3.2494,97.91012,3.04216,98.29682,,
,,3.2593,97.89903,3.04988,98.29712,,
,,3.2692,97.88806,3.0576,98.28432,,
,,3.27936,97.87695,3.06532,98.30107,,
,,3.28924,97.86622,3.07304,98.30947,,
,,3.29939,97.85536,3.08076,98.30507,,
,,3.30927,97.84486,3.08848,98.30242,,
,,3.31914,97.83448,3.09621,98.30852,,
,,3.32927,97.82398,3.10393,98.31672,,
,,3.33912,97.81383,3.11165,98.31487,,
,,3.34924,97.80356,3.11937,98.31202,,
,,3.35936,97.79341,3.12709,98.33377,,
,,3.3692,97.78361,3.13481,98.33222,,
,,3.3793,97.77369,3.14253,98.34222,,
,,3.38913,97.76411,3.15025,98.35072,,
,,3.39922,97.75442,3.15798,98.35132,,
,,3.4093,97.74485,3.1657,98.36592,,
,,3.41911,97.7356,3.17342,98.36292,,
,,3.42918,97.72625,3.18114,98.38077,,
,,3.43925,97.71702,3.18886,98.39102,,
,,3.44931,97.70789,3.19658,98.38707,,
,,3.4591,97.69907,3.2043,98.39497,,
,,3.46915,97.69017,3.21202,98.40707,,
,,3.47919,97.68137,3.21975,98.41722,,
,,3.48922,97.67268,3.22747,98.42442,,
,,3.49925,97.66409,3.23519,98.42452,,
,,3.50927,97.65562,3.24291,98.43237,,
,,3.51903,97.64743,3.25063,98.43247,,
,,3.52904,97.63916,3.25835,98.43952,,
,,3.53904,97.63099,3.26607,98.44932,,
,,3.54904,97.62293,3.27379,98.44617,,
,,3.55903,97.61498,3.28151,98.44532,,
,,3.56902,97.60712,3.28924,98.46117,,
,,3.579,97.59936,3.29696,98.46922,,
,,3.58923,97.59155,3.30468,98.47697,,
,,3.5992,97.584,3.3124,98.49587,,
,,3.60916,97.57654,3.32012,98.48847,,
,,3.61911,97.56918,3.32784,98.53542,,
,,3.62906,97.56192,3.33556,98.57237,,
